(1, 2)
(29, 26)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 29)
(2, 7)
(2, 15)
(2, 18)
(2, 21)
(2, 29)
(3, 7)
(3, 25)
(3, 26)
(3, 27)
(3, 29)
(4, 2)
(4, 3)
(4, 4)
(4, 10)
(4, 11)
(4, 12)
(4, 13)
(4, 14)
(4, 15)
(4, 16)
(4, 17)
(4, 18)
(4, 19)
(4, 20)
(4, 21)
(4, 22)
(4, 23)
(4, 27)
(4, 29)
(5, 10)
(5, 18)
(5, 19)
(5, 20)
(5, 24)
(5, 27)
(5, 29)
(6, 2)
(6, 3)
(6, 4)
(6, 5)
(6, 6)
(6, 7)
(6, 10)
(6, 18)
(6, 19)
(6, 25)
(6, 27)
(7, 7)
(7, 10)
(7, 13)
(7, 14)
(7, 15)
(7, 18)
(7, 19)
(7, 25)
(8, 4)
(8, 5)
(8, 7)
(8, 10)
(8, 13)
(8, 15)
(8, 18)
(8, 19)
(8, 21)
(8, 22)
(8, 23)
(8, 25)
(8, 29)
(9, 4)
(9, 7)
(9, 10)
(9, 13)
(9, 18)
(9, 19)
(9, 21)
(9, 22)
(9, 23)
(9, 25)
(9, 29)
(10, 4)
(10, 7)
(10, 10)
(10, 11)
(10, 12)
(10, 13)
(10, 15)
(10, 18)
(10, 19)
(10, 25)
(10, 28)
(10, 29)
(11, 4)
(11, 5)
(11, 6)
(11, 7)
(11, 15)
(11, 18)
(11, 19)
(11, 25)
(11, 29)
(12, 15)
(12, 18)
(12, 19)
(12, 20)
(12, 24)
(12, 29)
(13, 2)
(13, 3)
(13, 4)
(13, 5)
(13, 6)
(13, 15)
(13, 18)
(13, 19)
(13, 20)
(13, 21)
(13, 23)
(14, 6)
(14, 7)
(14, 8)
(14, 9)
(14, 10)
(14, 11)
(14, 12)
(14, 13)
(14, 15)
(14, 18)
(14, 29)
(15, 6)
(15, 13)
(15, 15)
(15, 18)
(15, 29)
(16, 3)
(16, 6)
(16, 13)
(16, 15)
(16, 16)
(16, 18)
(16, 19)
(16, 20)
(16, 21)
(16, 26)
(16, 27)
(16, 28)
(16, 29)
(17, 3)
(17, 6)
(17, 13)
(17, 18)
(17, 19)
(17, 29)
(18, 3)
(18, 13)
(18, 18)
(18, 29)
(19, 2)
(19, 3)
(19, 7)
(19, 8)
(19, 9)
(19, 10)
(19, 11)
(19, 13)
(19, 18)
(19, 22)
(19, 23)
(19, 24)
(19, 25)
(19, 26)
(19, 27)
(19, 29)
(20, 7)
(20, 10)
(20, 11)
(20, 13)
(20, 14)
(20, 15)
(20, 16)
(20, 17)
(20, 18)
(20, 22)
(20, 27)
(20, 29)
(21, 4)
(21, 5)
(21, 7)
(21, 10)
(21, 11)
(21, 22)
(21, 27)
(21, 29)
(22, 4)
(22, 7)
(22, 24)
(22, 25)
(22, 27)
(22, 29)
(23, 4)
(23, 7)
(23, 8)
(23, 9)
(23, 10)
(23, 12)
(23, 13)
(23, 14)
(23, 15)
(23, 16)
(23, 20)
(23, 21)
(23, 24)
(23, 27)
(23, 29)
(24, 4)
(24, 16)
(24, 20)
(24, 24)
(24, 27)
(24, 29)
(25, 4)
(25, 16)
(25, 20)
(25, 24)
(25, 27)
(25, 29)
(26, 4)
(26, 16)
(26, 20)
(26, 24)
(26, 27)
(26, 29)
(27, 4)
(27, 5)
(27, 6)
(27, 7)
(27, 8)
(27, 9)
(27, 10)
(27, 14)
(27, 15)
(27, 16)
(27, 20)
(27, 24)
(27, 27)
(27, 28)
(27, 29)
(28, 2)
(28, 3)
(28, 4)
(28, 20)
(28, 21)
(28, 22)
(28, 23)
(28, 24)
(28, 29)
(29, 2)
(29, 3)
(29, 4)
(29, 5)
(29, 6)
(29, 7)
(29, 8)
(29, 9)
(29, 10)
(29, 11)
(29, 13)
(29, 14)
(29, 15)
(29, 16)
(29, 17)
(29, 18)
(29, 20)
(29, 21)
(29, 22)
(29, 23)
(29, 24)
(29, 25)
(29, 27)
(29, 29)
